Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Togo,TGO,2415.81040413314
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Tonga,TON,6628.52627209459
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Trinidad and Tobago,TTO,33576.1604437466
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Tunisia,TUN,12519.7764734987
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Turkiye,TUR,26497.140816691
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Turkmenistan,TKM,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Turks and Caicos Islands,TCA,28961.5146683156
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Tuvalu,TUV,4528.67105106713
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Uganda,UGA,2557.57984140162
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Ukraine,UKR,16071.8115234375
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,United Arab Emirates,ARE,70109.727654685
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,United Kingdom,GBR,52372.4780334819
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,United States,USA,65299.9993837591
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Uruguay,URY,29130.6096807094
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Uzbekistan,UZB,6972.94419551378
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Vanuatu,VUT,3206.95074490969
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,"Venezuela, RB",VEN,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Viet Nam,VNM,9834.58572721742
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Virgin Islands (U.S.),VIR,43344.7361654908
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,West Bank and Gaza,PSE,6464.13352537371
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,"Yemen, Rep.",YEM,..
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Zambia,ZMB,3629.64366491715
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Zimbabwe,ZWE,3541.88132387769
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 11/13/2024,,,,
